DELIVERY_ID,MATCH_ID,INNINGS_NO,OVER_NO,BALL_NO,BATTING_TEAM_ID,BOWLING_TEAM_ID,STRIKER_PLAYER_ID,NON_STRIKER_PLAYER_ID,BOWLER_PLAYER_ID,BATSMAN_RUNS,WIDES,NO_BALLS,BYES,LEG_BYES,TOTAL_RUNS,IS_WICKET,DISMISSAL_TYPE,IS_FOUR,IS_SIX,IS_DOT_BALL,UPDATED_AT
D80000,M5008,1,9,3,T001,T004,P0014,P0019,P0012,3,0,0,0,1,4,0,NONE,0,0,0,2026-01-01 08:10:00
D80001,M5007,2,13,4,T002,T009,P0013,P0002,P0007,0,0,1,0,0,1,0,NONE,0,0,0,2026-01-01 08:10:00
D80002,M5001,1,1,5,T003,T010,P0004,P0013,P0020,0,0,0,1,0,1,1,LBW,0,0,0,2026-01-01 08:10:00
D80003,M5006,2,16,1,T002,T009,P0015,P0017,P0016,2,0,0,0,1,3,0,NONE,0,0,0,2026-01-01 08:10:00
D80004,M5005,2,6,5,T001,T005,P0017,P0012,P0005,0,0,0,1,0,1,0,NONE,0,0,0,2026-01-01 08:10:00
D80005,M5003,2,8,5,T009,T010,P0011,P0008,P0020,1,0,1,1,0,3,0,NONE,0,0,0,2026-01-01 08:10:00
D80006,M5008,2,1,1,T005,T009,P0009,P0007,P0020,3,1,0,0,0,4,0,NONE,0,0,0,2026-01-01 08:10:00
D80007,M5004,2,7,3,T004,T009,P0020,P0001,P0016,3,0,0,0,1,4,0,NONE,0,0,0,2026-01-01 08:10:00
D80008,M5008,1,14,6,T006,T002,P0013,P0016,P0013,0,0,0,0,0,0,1,RUN_OUT,0,0,1,2026-01-01 08:10:00
D80009,M5003,2,12,2,T009,T010,P0005,P0001,P0001,0,0,1,0,0,1,1,CAUGHT,0,0,0,2026-01-01 08:10:00
D80010,M5005,1,19,3,T005,T010,P0014,P0005,P0002,3,1,1,1,0,6,0,NONE,0,0,0,2026-01-01 08:10:00
D80011,M5009,1,15,2,T010,T001,P0005,P0007,P0005,6,0,0,0,1,7,0,NONE,0,1,0,2026-01-01 08:10:00
D80012,M5009,2,4,5,T001,T005,P0007,P0010,P0002,0,1,0,0,0,1,0,NONE,0,0,0,2026-01-01 08:10:00
D80013,M5009,1,9,4,T009,T010,P0016,P0018,P0008,2,0,1,0,0,3,1,RUN_OUT,0,0,0,2026-01-01 08:10:00
D80014,M5006,1,8,4,T002,T005,P0010,P0004,P0005,3,0,0,0,0,3,0,NONE,0,0,0,2026-01-01 08:10:00
D80015,M5002,2,16,2,T004,T003,P0014,P0018,P0013,3,1,0,0,0,4,1,LBW,0,0,0,2026-01-01 08:10:00
D80016,M5001,2,18,4,T008,T001,P0013,P0011,P0017,2,0,0,0,0,2,1,LBW,0,0,0,2026-01-01 08:10:00
D80017,M5001,1,9,2,T007,T005,P0013,P0005,P0018,6,0,0,0,0,6,0,NONE,0,1,0,2026-01-01 08:10:00
D80018,M5003,2,3,3,T001,T003,P0009,P0003,P0020,1,0,0,0,0,1,1,STUMPED,0,0,0,2026-01-01 08:10:00
D80019,M5007,2,20,2,T001,T010,P0008,P0004,P0006,2,0,0,0,0,2,0,NONE,0,0,0,2026-01-01 08:10:00
D80020,M5009,1,10,4,T009,T003,P0009,P0013,P0001,2,0,0,0,1,3,0,NONE,0,0,0,2026-01-01 08:10:00
D80021,M5004,2,8,4,T002,T008,P0016,P0019,P0013,2,0,0,0,0,2,0,NONE,0,0,0,2026-01-01 08:10:00
D80022,M5003,2,12,1,T003,T001,P0003,P0010,P0014,1,0,0,1,0,2,0,NONE,0,0,0,2026-01-01 08:10:00
D80023,M5005,1,10,1,T008,T003,P0006,P0010,P0015,0,0,0,0,1,1,0,NONE,0,0,0,2026-01-01 08:10:00
D80024,M5001,2,7,3,T003,T001,P0011,P0014,P0003,6,0,0,0,1,7,0,NONE,0,1,0,2026-01-01 08:10:00
