MATCH_ID,COMPETITION,FORMAT,MATCH_DATE,VENUE_ID,TEAM_A_ID,TEAM_B_ID,TOSS_WINNER_TEAM_ID,TOSS_DECISION,WINNER_TEAM_ID,RESULT_TYPE,RESULT_MARGIN,MATCH_STATUS,UPDATED_AT
M5001,IPL,T20,2026-01-02,V007,T006,T003,T006,BAT,T006,WON_BY_WICKETS,1,COMPLETED,2026-01-01 08:00:00
M5002,IPL,T20,2026-01-03,V001,T009,T004,T009,BOWL,T004,WON_BY_RUNS,20,COMPLETED,2026-01-01 08:00:00
M5003,IPL,T20,2026-01-04,V007,T002,T009,T002,BAT,T002,WON_BY_RUNS,41,COMPLETED,2026-01-01 08:00:00
M5004,IPL,T20,2026-01-05,V001,T010,T007,T010,BAT,T010,WON_BY_WICKETS,7,COMPLETED,2026-01-01 08:00:00
M5005,IPL,T20,2026-01-06,V002,T003,T009,T009,BAT,T003,WON_BY_RUNS,28,COMPLETED,2026-01-01 08:00:00
M5006,IPL,T20,2026-01-07,V002,T002,T009,T002,BAT,T009,WON_BY_WICKETS,6,COMPLETED,2026-01-01 08:00:00
M5007,IPL,T20,2026-01-08,V006,T008,T010,T010,BAT,T008,WON_BY_RUNS,10,COMPLETED,2026-01-01 08:00:00
M5008,IPL,T20,2026-01-09,V009,T010,T005,T005,BOWL,T005,WON_BY_WICKETS,2,COMPLETED,2026-01-01 08:00:00
M5009,IPL,T20,2026-01-10,V007,T002,T009,T002,BOWL,T002,WON_BY_WICKETS,7,COMPLETED,2026-01-01 08:00:00
M5010,IPL,T20,2026-01-11,V009,T001,T002,T002,BOWL,T002,WON_BY_WICKETS,8,COMPLETED,2026-01-01 08:00:00
M5011,International,T20I,2026-01-12,V013,T011,T015,T011,BAT,T015,WON_BY_WICKETS,5,COMPLETED,2026-01-01 08:00:00
M5012,International,T20I,2026-01-13,V011,T014,T013,T013,BAT,T014,WON_BY_WICKETS,1,COMPLETED,2026-01-01 08:00:00
M5013,International,ODI,2026-01-14,V012,T012,T013,T013,BOWL,T013,WON_BY_RUNS,15,COMPLETED,2026-01-01 08:00:00
M5014,International,T20I,2026-01-15,V015,T014,T015,T014,BOWL,T015,WON_BY_WICKETS,6,COMPLETED,2026-01-01 08:00:00
M5015,International,ODI,2026-01-16,V012,T014,T012,T014,BAT,T014,WON_BY_RUNS,5,COMPLETED,2026-01-01 08:00:00
