TEAM_ID,TEAM_NAME,TEAM_CODE,COUNTRY,COMPETITION,REGION,ESTABLISHED_DATE,STATUS
T001,Chennai Super Kings,CSK,India,IPL,SOUTH,2008-01-01,ACTIVE
T002,Mumbai Indians,MI,India,IPL,WEST,2008-01-01,ACTIVE
T003,Royal Challengers Bangalore,RCB,India,IPL,SOUTH,2008-01-01,ACTIVE
T004,Kolkata Knight Riders,KKR,India,IPL,EAST,2008-01-01,ACTIVE
T005,Delhi Capitals,DC,India,IPL,NORTH,2008-01-01,ACTIVE
T006,Sunrisers Hyderabad,SRH,India,IPL,SOUTH,2013-01-01,ACTIVE
T007,Rajasthan Royals,RR,India,IPL,WEST,2008-01-01,ACTIVE
T008,Punjab Kings,PBKS,India,IPL,NORTH,2008-01-01,ACTIVE
T009,Gujarat Titans,GT,India,IPL,WEST,2022-01-01,ACTIVE
T010,Lucknow Super Giants,LSG,India,IPL,NORTH,2022-01-01,ACTIVE
T011,India,IND,India,International,NA,1932-01-01,ACTIVE
T012,Australia,AUS,Australia,International,NA,1877-01-01,ACTIVE
T013,England,ENG,England,International,NA,1877-01-01,ACTIVE
T014,Pakistan,PAK,Pakistan,International,NA,1952-01-01,ACTIVE
T015,South Africa,SA,South Africa,International,NA,1889-01-01,ACTIVE
